Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2010,Florida,0.089,0.106,0.277,0.127,0.599
2010,Georgia,0.094,0.12,0.291,0.114,0.619
2010,Hawaii,0.088,0.11,0.278,0.135,0.611
2010,Idaho,0.094,0.119,0.257,0.116,0.586
2010,Illinois,0.091,0.125,0.284,0.117,0.617
2010,Indiana,0.091,0.115,0.281,0.122,0.609
2010,Iowa,0.091,0.114,0.272,0.126,0.603
2010,Kansas,0.093,0.115,0.27,0.12,0.598
2010,Kentucky,0.09,0.117,0.284,0.128,0.619
2010,Louisiana,0.101,0.121,0.27,0.121,0.613
2010,Maine,0.077,0.1,0.299,0.149,0.625
2010,Maryland,0.091,0.118,0.297,0.124,0.63
2010,Massachusetts,0.089,0.118,0.298,0.127,0.632
2010,Michigan,0.09,0.106,0.286,0.13,0.612
2010,Minnesota,0.086,0.123,0.287,0.122,0.618
2010,Mississippi,0.093,0.112,0.271,0.121,0.597
2010,Missouri,0.092,0.114,0.279,0.124,0.609
2010,Montana,0.083,0.111,0.27,0.144,0.608
2010,Nebraska,0.092,0.122,0.268,0.121,0.603
2010,Nevada,0.091,0.127,0.281,0.119,0.618
2010,New Hampshire,0.078,0.099,0.315,0.141,0.633
2010,New Jersey,0.082,0.113,0.301,0.121,0.617
2010,New Mexico,0.096,0.11,0.265,0.128,0.599
2010,New York,0.095,0.123,0.289,0.122,0.629
2010,North Carolina,0.089,0.116,0.287,0.123,0.615
2010,North Dakota,0.108,0.12,0.265,0.126,0.619
2010,Ohio,0.086,0.111,0.284,0.129,0.61
2010,Oklahoma,0.092,0.119,0.267,0.12,0.598
2010,Oregon,0.09,0.123,0.274,0.136,0.623
2010,Pennsylvania,0.088,0.107,0.285,0.132,0.612
2010,Rhode Island,0.098,0.106,0.293,0.131,0.628
2010,South Carolina,0.093,0.11,0.278,0.131,0.612
2010,South Dakota,0.09,0.113,0.267,0.121,0.591
2010,Tennessee,0.088,0.116,0.284,0.127,0.615
2010,Texas,0.099,0.126,0.276,0.106,0.607
2010,Utah,0.111,0.145,0.234,0.088,0.578
2010,Vermont,0.08,0.105,0.298,0.151,0.634
2010,Virginia,0.09,0.119,0.294,0.124,0.627
2010,Washington,0.091,0.123,0.285,0.128,0.627
2010,West Virginia,0.084,0.106,0.279,0.147,0.616
2010,Wisconsin,0.091,0.112,0.286,0.127,0.616
2010,Wyoming,0.094,0.121,0.272,0.131,0.618
2010,Puerto Rico,0.099,0.116,0.263,0.12,0.598
2011,Alabama,0.094,0.112,0.274,0.129,0.609
2011,Alaska,0.102,0.126,0.282,0.13,0.64
2011,Arizona,0.095,0.117,0.259,0.119,0.59
2011,Arkansas,0.089,0.117,0.266,0.127,0.599
2011,California,0.102,0.127,0.279,0.114,0.622
2011,Colorado,0.094,0.13,0.285,0.125,0.634
2011,Connecticut,0.08,0.107,0.298,0.132,0.617
2011,Delaware,0.087,0.114,0.278,0.13,0.609
2011,District of Columbia,0.116,0.204,0.266,0.113,0.699
2011,Florida,0.09,0.107,0.272,0.13,0.599
2011,Georgia,0.094,0.121,0.287,0.116,0.618
2011,Hawaii,0.085,0.119,0.27,0.136,0.61
2011,Idaho,0.094,0.118,0.256,0.121,0.589
2011,Illinois,0.092,0.124,0.28,0.121,0.617
2011,Indiana,0.091,0.114,0.276,0.127,0.608
2011,Iowa,0.089,0.119,0.264,0.131,0.603
2011,Kansas,0.096,0.115,0.265,0.124,0.6
2011,Kentucky,0.088,0.116,0.28,0.131,0.615
2011,Louisiana,0.1,0.122,0.266,0.124,0.612
2011,Maine,0.076,0.1,0.293,0.153,0.622
2011,Maryland,0.09,0.119,0.293,0.127,0.629
2011,Massachusetts,0.089,0.117,0.294,0.131,0.631
2011,Michigan,0.095,0.106,0.28,0.134,0.615
2011,Minnesota,0.088,0.123,0.28,0.125,0.616
2011,Mississippi,0.095,0.112,0.269,0.124,0.6
2011,Missouri,0.09,0.118,0.273,0.129,0.61
2011,Montana,0.094,0.113,0.261,0.149,0.617
2011,Nebraska,0.096,0.117,0.265,0.125,0.603
2011,Nevada,0.092,0.125,0.279,0.122,0.618
2011,New Hampshire,0.082,0.099,0.308,0.145,0.634
2011,New Jersey,0.083,0.113,0.298,0.125,0.619
2011,New Mexico,0.098,0.114,0.254,0.131,0.597
2011,New York,0.097,0.125,0.285,0.125,0.632
2011,North Carolina,0.089,0.115,0.283,0.126,0.613
2011,North Dakota,0.115,0.12,0.254,0.131,0.62
2011,Ohio,0.088,0.112,0.278,0.134,0.612
2011,Oklahoma,0.092,0.12,0.262,0.124,0.598
2011,Oregon,0.092,0.124,0.269,0.138,0.623
2011,Pennsylvania,0.088,0.108,0.282,0.136,0.614
2011,Rhode Island,0.097,0.111,0.288,0.135,0.631
2011,South Carolina,0.093,0.11,0.273,0.134,0.61
2011,South Dakota,0.091,0.115,0.26,0.127,0.593
2011,Tennessee,0.09,0.117,0.279,0.131,0.617
2011,Texas,0.098,0.127,0.273,0.108,0.606
2011,Utah,0.111,0.142,0.233,0.092,0.578
2011,Vermont,0.084,0.102,0.293,0.156,0.635
2011,Virginia,0.091,0.12,0.289,0.127,0.627
2011,Washington,0.092,0.126,0.28,0.131,0.629
2011,West Virginia,0.088,0.105,0.275,0.15,0.618
2011,Wisconsin,0.09,0.114,0.28,0.132,0.616
2011,Wyoming,0.094,0.127,0.262,0.14,0.623
2011,Puerto Rico,0.1,0.114,0.261,0.12,0.595
2012,Alabama,0.095,0.112,0.27,0.13,0.607
2012,Alaska,0.106,0.129,0.278,0.134,0.647
2012,Arizona,0.095,0.118,0.257,0.119,0.589
2012,Arkansas,0.091,0.117,0.263,0.126,0.597
2012,California,0.103,0.127,0.277,0.115,0.622
2012,Colorado,0.095,0.129,0.279,0.126,0.629
2012,Connecticut,0.084,0.106,0.293,0.133,0.616
2012,Delaware,0.094,0.109,0.273,0.131,0.607
2012,District of Columbia,0.108,0.207,0.266,0.111,0.692
2012,Florida,0.09,0.109,0.269,0.13,0.598
2012,Georgia,0.094,0.121,0.284,0.117,0.616
2012,Hawaii,0.087,0.122,0.263,0.135,0.607
2012,Idaho,0.095,0.116,0.254,0.123,0.588
2012,Illinois,0.093,0.124,0.277,0.123,0.617
2012,Indiana,0.092,0.116,0.272,0.127,0.607
2012,Iowa,0.093,0.116,0.261,0.131,0.601
2012,Kansas,0.095,0.12,0.26,0.125,0.6
2012,Kentucky,0.09,0.115,0.277,0.132,0.614
2012,Louisiana,0.099,0.124,0.262,0.125,0.61
2012,Maine,0.077,0.102,0.284,0.155,0.618
2012,Maryland,0.09,0.122,0.287,0.128,0.627
2012,Massachusetts,0.088,0.121,0.289,0.132,0.63
2012,Michigan,0.096,0.105,0.275,0.136,0.612
2012,Minnesota,0.084,0.128,0.275,0.129,0.616
2012,Mississippi,0.098,0.112,0.261,0.124,0.595
2012,Missouri,0.091,0.119,0.268,0.129,0.607
2012,Montana,0.088,0.111,0.261,0.15,0.61
2012,Nebraska,0.088,0.122,0.263,0.125,0.598
2012,Nevada,0.093,0.126,0.277,0.122,0.618
2012,New Hampshire,0.082,0.101,0.301,0.148,0.632
2012,New Jersey,0.083,0.114,0.294,0.126,0.617
2012,New Mexico,0.09,0.119,0.255,0.13,0.594
2012,New York,0.097,0.126,0.28,0.126,0.629
2012,North Carolina,0.09,0.114,0.281,0.126,0.611
2012,North Dakota,0.112,0.129,0.251,0.132,0.624
2012,Ohio,0.089,0.111,0.274,0.135,0.609
2012,Oklahoma,0.094,0.12,0.261,0.123,0.598
2012,Oregon,0.09,0.124,0.267,0.137,0.618
2012,Pennsylvania,0.09,0.11,0.274,0.138,0.612
2012,Rhode Island,0.098,0.113,0.281,0.134,0.626
2012,South Carolina,0.092,0.112,0.269,0.132,0.605
2012,South Dakota,0.091,0.119,0.251,0.136,0.597
2012,Tennessee,0.09,0.116,0.276,0.13,0.612
2012,Texas,0.099,0.128,0.271,0.109,0.607
2012,Utah,0.113,0.142,0.234,0.092,0.581
2012,Vermont,0.088,0.103,0.28,0.157,0.628
2012,Virginia,0.09,0.123,0.285,0.126,0.624
2012,Washington,0.092,0.126,0.277,0.131,0.626
2012,West Virginia,0.087,0.106,0.27,0.151,0.614
2012,Wisconsin,0.088,0.116,0.276,0.134,0.614
2012,Wyoming,0.093,0.129,0.259,0.14,0.621
2012,Puerto Rico,0.101,0.111,0.261,0.12,0.593
2013,Alabama,0.094,0.113,0.265,0.131,0.603
2013,Alaska,0.107,0.136,0.265,0.126,0.634
2013,Arizona,0.095,0.119,0.252,0.12,0.586
2013,Arkansas,0.089,0.118,0.259,0.127,0.593
2013,California,0.102,0.129,0.273,0.116,0.62
2013,Colorado,0.095,0.13,0.275,0.127,0.627
2013,Connecticut,0.082,0.111,0.286,0.137,0.616
2013,Delaware,0.087,0.117,0.271,0.133,0.608
2013,District of Columbia,0.113,0.207,0.266,0.111,0.697
2013,Florida,0.089,0.109,0.265,0.131,0.594
2013,Georgia,0.094,0.119,0.281,0.118,0.612
2013,Hawaii,0.09,0.121,0.258,0.133,0.602
2013,Idaho,0.093,0.116,0.25,0.123,0.582
2013,Illinois,0.094,0.125,0.275,0.125,0.619
2013,Indiana,0.092,0.115,0.269,0.129,0.605
2013,Iowa,0.091,0.115,0.258,0.134,0.598
2013,Kansas,0.094,0.12,0.254,0.127,0.595
2013,Kentucky,0.092,0.114,0.272,0.133,0.611
2013,Louisiana,0.1,0.126,0.258,0.128,0.612
2013,Maine,0.08,0.1,0.28,0.158,0.618
2013,Maryland,0.088,0.123,0.284,0.129,0.624
2013,Massachusetts,0.091,0.122,0.283,0.133,0.629
2013,Michigan,0.096,0.107,0.27,0.139,0.612
2013,Minnesota,0.087,0.125,0.271,0.131,0.614
2013,Mississippi,0.096,0.113,0.26,0.127,0.596
2013,Missouri,0.093,0.119,0.264,0.131,0.607
2013,Montana,0.092,0.111,0.25,0.15,0.603
2013,Nebraska,0.093,0.123,0.254,0.127,0.597
2013,Nevada,0.091,0.126,0.273,0.122,0.612
2013,New Hampshire,0.082,0.104,0.293,0.15,0.629
2013,New Jersey,0.084,0.114,0.289,0.128,0.615
2013,New Mexico,0.096,0.115,0.25,0.13,0.591
2013,New York,0.096,0.128,0.277,0.128,0.629
2013,North Carolina,0.091,0.114,0.277,0.127,0.609
2013,North Dakota,0.124,0.122,0.246,0.132,0.624
2013,Ohio,0.089,0.113,0.269,0.137,0.608
2013,Oklahoma,0.096,0.122,0.255,0.123,0.596
2013,Oregon,0.091,0.121,0.266,0.139,0.617
2013,Pennsylvania,0.089,0.112,0.27,0.14,0.611
2013,Rhode Island,0.099,0.116,0.277,0.138,0.63
2013,South Carolina,0.094,0.112,0.266,0.133,0.605
2013,South Dakota,0.092,0.12,0.254,0.134,0.6
2013,Tennessee,0.092,0.116,0.272,0.131,0.611
2013,Texas,0.099,0.128,0.268,0.11,0.605
2013,Utah,0.11,0.137,0.237,0.093,0.577
2013,Vermont,0.079,0.106,0.279,0.156,0.62
2013,Virginia,0.09,0.122,0.281,0.128,0.621
2013,Washington,0.091,0.128,0.272,0.131,0.622
2013,West Virginia,0.087,0.106,0.267,0.151,0.611
2013,Wisconsin,0.089,0.116,0.271,0.136,0.612
2013,Wyoming,0.097,0.131,0.248,0.14,0.616
2013,Puerto Rico,0.101,0.109,0.261,0.121,0.592
2014,Alabama,0.094,0.113,0.263,0.133,0.603
2014,Alaska,0.109,0.131,0.261,0.131,0.632
2014,Arizona,0.096,0.117,0.251,0.12,0.584
2014,Arkansas,0.089,0.115,0.258,0.127,0.589
2014,California,0.101,0.131,0.271,0.118,0.621
2014,Colorado,0.094,0.133,0.271,0.127,0.625
2014,Connecticut,0.084,0.11,0.283,0.139,0.616
2014,Delaware,0.093,0.112,0.261,0.137,0.603
2014,District of Columbia,0.104,0.213,0.271,0.109,0.697
2014,Florida,0.088,0.111,0.261,0.131,0.591
2014,Georgia,0.094,0.121,0.278,0.119,0.612
2014,Hawaii,0.087,0.126,0.256,0.132,0.601
2014,Idaho,0.094,0.114,0.246,0.124,0.578
2014,Illinois,0.093,0.124,0.272,0.128,0.617
2014,Indiana,0.093,0.116,0.266,0.13,0.605
2014,Iowa,0.09,0.116,0.255,0.134,0.595
2014,Kansas,0.095,0.119,0.251,0.128,0.593
2014,Kentucky,0.091,0.113,0.271,0.134,0.609
2014,Louisiana,0.098,0.126,0.256,0.128,0.608
2014,Maine,0.079,0.102,0.274,0.16,0.615
2014,Maryland,0.089,0.124,0.28,0.131,0.624
2014,Massachusetts,0.092,0.123,0.279,0.135,0.629
2014,Michigan,0.096,0.109,0.265,0.14,0.61
2014,Minnesota,0.087,0.127,0.266,0.133,0.613
2014,Mississippi,0.094,0.112,0.259,0.128,0.593
2014,Missouri,0.091,0.12,0.261,0.133,0.605
2014,Montana,0.096,0.111,0.245,0.151,0.603
2014,Nebraska,0.089,0.122,0.252,0.128,0.591
2014,Nevada,0.093,0.126,0.272,0.122,0.613
2014,New Hampshire,0.085,0.103,0.286,0.153,0.627
2014,New Jersey,0.085,0.114,0.285,0.131,0.615
2014,New Mexico,0.102,0.115,0.244,0.133,0.594
2014,New York,0.095,0.129,0.274,0.129,0.627
2014,North Carolina,0.091,0.114,0.274,0.128,0.607
2014,North Dakota,0.118,0.134,0.238,0.13,0.62
2014,Ohio,0.089,0.114,0.265,0.138,0.606
2014,Oklahoma,0.097,0.122,0.253,0.124,0.596
2014,Oregon,0.087,0.125,0.262,0.139,0.613
2014,Pennsylvania,0.087,0.116,0.265,0.142,0.61
2014,Rhode Island,0.095,0.119,0.272,0.138,0.624
2014,South Carolina,0.091,0.114,0.263,0.134,0.602
2014,South Dakota,0.095,0.117,0.245,0.134,0.591
2014,Tennessee,0.093,0.115,0.268,0.132,0.608
2014,Texas,0.098,0.129,0.266,0.111,0.604
2014,Utah,0.108,0.135,0.237,0.096,0.576
2014,Vermont,0.085,0.107,0.271,0.16,0.623
2014,Virginia,0.092,0.122,0.276,0.129,0.619
2014,Washington,0.092,0.128,0.268,0.132,0.62
2014,West Virginia,0.087,0.106,0.262,0.149,0.604
2014,Wisconsin,0.092,0.115,0.267,0.137,0.611
2014,Wyoming,0.093,0.129,0.253,0.143,0.618
2014,Puerto Rico,0.104,0.106,0.26,0.123,0.593
2015,Alabama,0.09,0.115,0.261,0.134,0.6
2015,Alaska,0.111,0.136,0.251,0.131,0.629
2015,Arizona,0.095,0.117,0.25,0.121,0.583
2015,Arkansas,0.09,0.116,0.256,0.128,0.59
2015,California,0.1,0.132,0.269,0.12,0.621
2015,Colorado,0.093,0.136,0.268,0.128,0.625
2015,Connecticut,0.087,0.108,0.278,0.142,0.615
2015,Delaware,0.09,0.115,0.258,0.138,0.601
2015,District of Columbia,0.105,0.212,0.27,0.111,0.698
2015,Florida,0.086,0.112,0.259,0.133,0.59
2015,Georgia,0.092,0.12,0.277,0.121,0.61
2015,Hawaii,0.089,0.125,0.252,0.131,0.597
2015,Idaho,0.092,0.115,0.246,0.125,0.578
2015,Illinois,0.094,0.124,0.27,0.129,0.617
2015,Indiana,0.095,0.114,0.262,0.132,0.603
2015,Iowa,0.092,0.116,0.252,0.136,0.596
2015,Kansas,0.093,0.119,0.251,0.13,0.593
2015,Kentucky,0.09,0.112,0.267,0.136,0.605
2015,Louisiana,0.096,0.126,0.253,0.13,0.605
2015,Maine,0.08,0.1,0.269,0.161,0.61
2015,Maryland,0.091,0.122,0.277,0.133,0.623
2015,Massachusetts,0.091,0.125,0.275,0.138,0.629
2015,Michigan,0.095,0.111,0.261,0.141,0.608
2015,Minnesota,0.085,0.125,0.265,0.135,0.61
2015,Mississippi,0.094,0.109,0.257,0.128,0.588
2015,Missouri,0.093,0.116,0.257,0.136,0.602
2015,Montana,0.092,0.114,0.243,0.149,0.598
2015,Nebraska,0.094,0.119,0.249,0.129,0.591
2015,Nevada,0.09,0.126,0.271,0.124,0.611
2015,New Hampshire,0.083,0.105,0.279,0.157,0.624
2015,New Jersey,0.086,0.114,0.282,0.134,0.616
2015,New Mexico,0.093,0.116,0.243,0.132,0.584
2015,New York,0.095,0.13,0.271,0.131,0.627
2015,North Carolina,0.09,0.115,0.271,0.129,0.605
2015,North Dakota,0.108,0.136,0.24,0.129,0.613
2015,Ohio,0.088,0.115,0.261,0.139,0.603
2015,Oklahoma,0.091,0.123,0.249,0.127,0.59
2015,Oregon,0.089,0.124,0.262,0.137,0.612
2015,Pennsylvania,0.086,0.115,0.261,0.143,0.605
2015,Rhode Island,0.096,0.12,0.268,0.142,0.626
2015,South Carolina,0.094,0.112,0.26,0.135,0.601
2015,South Dakota,0.089,0.119,0.241,0.136,0.585
2015,Tennessee,0.091,0.116,0.266,0.132,0.605
2015,Texas,0.097,0.129,0.265,0.113,0.604
2015,Utah,0.11,0.131,0.239,0.095,0.575
2015,Vermont,0.083,0.113,0.266,0.162,0.624
2015,Virginia,0.09,0.121,0.274,0.13,0.615
2015,Washington,0.091,0.13,0.265,0.132,0.618
2015,West Virginia,0.086,0.104,0.262,0.149,0.601
2015,Wisconsin,0.088,0.114,0.265,0.141,0.608
2015,Wyoming,0.092,0.123,0.244,0.142,0.601
2015,Puerto Rico,0.1,0.106,0.261,0.125,0.592
2016,Alabama,0.09,0.115,0.258,0.135,0.598
2016,Alaska,0.102,0.142,0.251,0.132,0.627
2016,Arizona,0.094,0.118,0.246,0.121,0.579
2016,Arkansas,0.091,0.113,0.251,0.129,0.584
2016,California,0.098,0.133,0.267,0.121,0.619
2016,Colorado,0.093,0.135,0.268,0.128,0.624
2016,Connecticut,0.088,0.11,0.272,0.145,0.615
2016,Delaware,0.081,0.121,0.253,0.141,0.596
2016,District of Columbia,0.102,0.211,0.27,0.107,0.69
2016,Florida,0.085,0.113,0.255,0.134,0.587
2016,Georgia,0.091,0.121,0.273,0.122,0.607
2016,Hawaii,0.082,0.123,0.254,0.135,0.594
2016,Idaho,0.088,0.118,0.242,0.124,0.572
2016,Illinois,0.09,0.125,0.267,0.131,0.613
2016,Indiana,0.094,0.115,0.257,0.133,0.599
2016,Iowa,0.091,0.116,0.251,0.135,0.593
2016,Kansas,0.096,0.116,0.248,0.13,0.59
2016,Kentucky,0.09,0.113,0.263,0.137,0.603
2016,Louisiana,0.093,0.126,0.252,0.13,0.601
2016,Maine,0.072,0.107,0.263,0.161,0.603
2016,Maryland,0.085,0.124,0.274,0.134,0.617
2016,Massachusetts,0.089,0.127,0.27,0.138,0.624
2016,Michigan,0.094,0.113,0.257,0.143,0.607
2016,Minnesota,0.085,0.124,0.261,0.136,0.606
2016,Mississippi,0.094,0.109,0.255,0.129,0.587
2016,Missouri,0.087,0.118,0.256,0.137,0.598
2016,Montana,0.092,0.108,0.239,0.151,0.59
2016,Nebraska,0.094,0.119,0.25,0.129,0.592
2016,Nevada,0.089,0.127,0.266,0.125,0.607
2016,New Hampshire,0.082,0.108,0.273,0.158,0.621
2016,New Jersey,0.085,0.115,0.277,0.135,0.612
2016,New Mexico,0.093,0.118,0.243,0.134,0.588
2016,New York,0.093,0.131,0.268,0.132,0.624
2016,North Carolina,0.087,0.115,0.27,0.131,0.603
2016,North Dakota,0.107,0.135,0.241,0.131,0.614
2016,Ohio,0.087,0.116,0.256,0.141,0.6
2016,Oklahoma,0.092,0.122,0.246,0.127,0.587
2016,Oregon,0.088,0.127,0.258,0.136,0.609
2016,Pennsylvania,0.084,0.119,0.257,0.145,0.605
2016,Rhode Island,0.096,0.12,0.263,0.145,0.624
2016,South Carolina,0.087,0.116,0.256,0.136,0.595
2016,South Dakota,0.088,0.123,0.233,0.137,0.581
2016,Tennessee,0.088,0.118,0.265,0.132,0.603
2016,Texas,0.097,0.13,0.262,0.113,0.602
2016,Utah,0.108,0.131,0.238,0.097,0.574
2016,Vermont,0.085,0.106,0.261,0.159,0.611
2016,Virginia,0.088,0.121,0.272,0.133,0.614
2016,Washington,0.089,0.13,0.264,0.132,0.615
2016,West Virginia,0.085,0.104,0.258,0.148,0.595
2016,Wisconsin,0.09,0.115,0.258,0.144,0.607
2016,Wyoming,0.089,0.121,0.245,0.141,0.596
2016,Puerto Rico,0.099,0.107,0.258,0.128,0.592
2017,Alabama,0.091,0.113,0.255,0.136,0.595
2017,Alaska,0.09,0.138,0.259,0.13,0.617
2017,Arizona,0.093,0.119,0.245,0.123,0.58
2017,Arkansas,0.091,0.113,0.25,0.13,0.584
2017,California,0.096,0.135,0.266,0.122,0.619
2017,Colorado,0.09,0.139,0.266,0.128,0.623
2017,Connecticut,0.086,0.114,0.267,0.147,0.614
2017,Delaware,0.084,0.119,0.249,0.143,0.595
2017,District of Columbia,0.098,0.215,0.269,0.104,0.686
2017,Florida,0.083,0.114,0.254,0.135,0.586
2017,Georgia,0.09,0.12,0.272,0.124,0.606
2017,Hawaii,0.074,0.125,0.252,0.134,0.585
2017,Idaho,0.089,0.113,0.244,0.126,0.572
2017,Illinois,0.089,0.124,0.263,0.132,0.608
2017,Indiana,0.092,0.117,0.256,0.133,0.598
2017,Iowa,0.09,0.115,0.248,0.136,0.589
2017,Kansas,0.094,0.117,0.244,0.132,0.587
2017,Kentucky,0.088,0.114,0.26,0.137,0.599
2017,Louisiana,0.094,0.121,0.251,0.131,0.597
2017,Maine,0.071,0.11,0.258,0.161,0.6
2017,Maryland,0.085,0.123,0.271,0.137,0.616
