,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Deaths,Births,Death Rate
38,Alabama,1.0,2010.0,2010.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10.0,7343.0,1.37 (Unreliable)
39,Alabama,1.0,2010.0,2010.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,72.0,17745.0,4.06
40,Alabama,1.0,2010.0,2010.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30.0,17745.0,1.69
41,Alabama,1.0,2010.0,2010.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,32.0,17745.0,1.81
42,Alabama,1.0,2010.0,2010.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12.0,17745.0,0.68 (Unreliable)
43,Alabama,1.0,2010.0,2010.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,71.0,17683.0,4.02
44,Alabama,1.0,2010.0,2010.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,26.0,17683.0,1.47
45,Alabama,1.0,2010.0,2010.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,24.0,17683.0,1.36
46,Alabama,1.0,2010.0,2010.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,11.0,17683.0,0.63 (Unreliable)
47,Alabama,1.0,2010.0,2010.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,54.0,11578.0,4.67
48,Alabama,1.0,2010.0,2010.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,15.0,11578.0,1.30 (Unreliable)
49,Alabama,1.0,2010.0,2010.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,19.0,4590.0,4.14 (Unreliable)
50,Alabama,1.0,2010.0,2010.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10.0,4590.0,2.18 (Unreliable)
51,Alabama,1.0,2011.0,2011.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,33.0,6609.0,4.99
52,Alabama,1.0,2011.0,2011.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12.0,6609.0,1.83 (Unreliable)
53,Alabama,1.0,2011.0,2011.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,61.0,17591.0,3.47
54,Alabama,1.0,2011.0,2011.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,31.0,17591.0,1.77
55,Alabama,1.0,2011.0,2011.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,35.0,17591.0,2.00
56,Alabama,1.0,2011.0,2011.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14.0,17591.0,0.80 (Unreliable)
57,Alabama,1.0,2011.0,2011.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,59.0,17498.0,3.37
58,Alabama,1.0,2011.0,2011.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24.0,17498.0,1.37
59,Alabama,1.0,2011.0,2011.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21.0,17498.0,1.21
60,Alabama,1.0,2011.0,2011.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,47.0,11949.0,3.94
61,Alabama,1.0,2011.0,2011.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12.0,11949.0,1.01 (Unreliable)
62,Alabama,1.0,2011.0,2011.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,26.0,4600.0,5.66
63,Alabama,1.0,2011.0,2011.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12.0,4600.0,2.62 (Unreliable)
64,Alabama,1.0,2012.0,2012.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,39.0,6195.0,6.30
65,Alabama,1.0,2012.0,2012.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,10.0,6195.0,1.61 (Unreliable)
66,Alabama,1.0,2012.0,2012.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,62.0,17100.0,3.63
67,Alabama,1.0,2012.0,2012.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,25.0,17100.0,1.46
68,Alabama,1.0,2012.0,2012.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,26.0,17100.0,1.52
69,Alabama,1.0,2012.0,2012.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,15.0,17100.0,0.88 (Unreliable)
70,Alabama,1.0,2012.0,2012.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,69.0,17347.0,3.98
71,Alabama,1.0,2012.0,2012.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30.0,17347.0,1.73
72,Alabama,1.0,2012.0,2012.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31.0,17347.0,1.79
73,Alabama,1.0,2012.0,2012.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,42.0,12211.0,3.44
74,Alabama,1.0,2012.0,2012.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22.0,12211.0,1.80
75,Alabama,1.0,2012.0,2012.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,18.0,12211.0,1.47 (Unreliable)
76,Alabama,1.0,2012.0,2012.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,28.0,4574.0,6.12
77,Alabama,1.0,2013.0,2013.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,29.0,5392.0,5.38
78,Alabama,1.0,2013.0,2013.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,14.0,5392.0,2.60 (Unreliable)
79,Alabama,1.0,2013.0,2013.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,19.0,5392.0,3.52 (Unreliable)
80,Alabama,1.0,2013.0,2013.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,70.0,17322.0,4.04
81,Alabama,1.0,2013.0,2013.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24.0,17322.0,1.39
82,Alabama,1.0,2013.0,2013.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31.0,17322.0,1.79
83,Alabama,1.0,2013.0,2013.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,67.0,17480.0,3.83
84,Alabama,1.0,2013.0,2013.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,16.0,17480.0,0.92 (Unreliable)
85,Alabama,1.0,2013.0,2013.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,29.0,17480.0,1.66
86,Alabama,1.0,2013.0,2013.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,59.0,12325.0,4.79
87,Alabama,1.0,2013.0,2013.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,16.0,12325.0,1.30 (Unreliable)
88,Alabama,1.0,2013.0,2013.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,15.0,12325.0,1.22 (Unreliable)
89,Alabama,1.0,2013.0,2013.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,24.0,4631.0,5.18
90,Alabama,1.0,2014.0,2014.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,24.0,5009.0,4.80
91,Alabama,1.0,2014.0,2014.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,13.0,5009.0,2.60 (Unreliable)
92,Alabama,1.0,2014.0,2014.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,16.0,5009.0,3.20 (Unreliable)
93,Alabama,1.0,2014.0,2014.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,84.0,17092.0,4.93
94,Alabama,1.0,2014.0,2014.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21.0,17092.0,1.23
95,Alabama,1.0,2014.0,2014.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,37.0,17092.0,2.17
96,Alabama,1.0,2014.0,2014.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,10.0,17092.0,0.59 (Unreliable)
97,Alabama,1.0,2014.0,2014.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,55.0,18141.0,3.04
98,Alabama,1.0,2014.0,2014.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28.0,18141.0,1.55
99,Alabama,1.0,2014.0,2014.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,30.0,18141.0,1.65
100,Alabama,1.0,2014.0,2014.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,54.0,13176.0,4.11
101,Alabama,1.0,2014.0,2014.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22.0,13176.0,1.67
102,Alabama,1.0,2014.0,2014.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,13176.0,1.06 (Unreliable)
103,Alabama,1.0,2014.0,2014.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,12.0,4980.0,2.41 (Unreliable)
104,Alabama,1.0,2015.0,2015.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,18.0,4739.0,3.80 (Unreliable)
105,Alabama,1.0,2015.0,2015.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11.0,4739.0,2.32 (Unreliable)
106,Alabama,1.0,2015.0,2015.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,77.0,16794.0,4.58
107,Alabama,1.0,2015.0,2015.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27.0,16794.0,1.61
108,Alabama,1.0,2015.0,2015.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,43.0,16794.0,2.56
109,Alabama,1.0,2015.0,2015.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,71.0,18531.0,3.83
110,Alabama,1.0,2015.0,2015.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,19.0,18531.0,1.03 (Unreliable)
111,Alabama,1.0,2015.0,2015.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25.0,18531.0,1.35
112,Alabama,1.0,2015.0,2015.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,49.0,13287.0,3.69
113,Alabama,1.0,2015.0,2015.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17.0,13287.0,1.28 (Unreliable)
114,Alabama,1.0,2015.0,2015.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,13287.0,1.05 (Unreliable)
115,Alabama,1.0,2015.0,2015.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,11.0,5272.0,2.09 (Unreliable)
116,Alabama,1.0,2016.0,2016.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,28.0,4480.0,6.25
117,Alabama,1.0,2016.0,2016.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11.0,4480.0,2.46 (Unreliable)
118,Alabama,1.0,2016.0,2016.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,67.0,16066.0,4.17
119,Alabama,1.0,2016.0,2016.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32.0,16066.0,1.99
120,Alabama,1.0,2016.0,2016.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,38.0,16066.0,2.37
121,Alabama,1.0,2016.0,2016.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12.0,16066.0,0.75 (Unreliable)
122,Alabama,1.0,2016.0,2016.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,60.0,18649.0,3.22
123,Alabama,1.0,2016.0,2016.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17.0,18649.0,0.91 (Unreliable)
124,Alabama,1.0,2016.0,2016.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,35.0,18649.0,1.88
125,Alabama,1.0,2016.0,2016.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,62.0,13440.0,4.61
126,Alabama,1.0,2016.0,2016.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24.0,13440.0,1.79
127,Alabama,1.0,2016.0,2016.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21.0,13440.0,1.56
128,Alabama,1.0,2016.0,2016.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,20.0,5505.0,3.63
129,Alabama,1.0,2017.0,2017.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,15.0,4241.0,3.54 (Unreliable)
130,Alabama,1.0,2017.0,2017.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,4241.0,3.30 (Unreliable)
131,Alabama,1.0,2017.0,2017.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,51.0,15780.0,3.23
132,Alabama,1.0,2017.0,2017.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21.0,15780.0,1.33
133,Alabama,1.0,2017.0,2017.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,45.0,15780.0,2.85
134,Alabama,1.0,2017.0,2017.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,51.0,18774.0,2.72
135,Alabama,1.0,2017.0,2017.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,25.0,18774.0,1.33
136,Alabama,1.0,2017.0,2017.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25.0,18774.0,1.33
137,Alabama,1.0,2017.0,2017.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,39.0,13425.0,2.91
138,Alabama,1.0,2017.0,2017.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22.0,13425.0,1.64
139,Alabama,1.0,2017.0,2017.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,19.0,13425.0,1.42 (Unreliable)
140,Alabama,1.0,2017.0,2017.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,23.0,5647.0,4.07
141,Alabama,1.0,2017.0,2017.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,13.0,5647.0,2.30 (Unreliable)
142,Alabama,1.0,2018.0,2018.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,16.0,3924.0,4.08 (Unreliable)
143,Alabama,1.0,2018.0,2018.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,66.0,15268.0,4.32
144,Alabama,1.0,2018.0,2018.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,19.0,15268.0,1.24 (Unreliable)
145,Alabama,1.0,2018.0,2018.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,20.0,15268.0,1.31
146,Alabama,1.0,2018.0,2018.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,54.0,18348.0,2.94
147,Alabama,1.0,2018.0,2018.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,29.0,18348.0,1.58
148,Alabama,1.0,2018.0,2018.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,22.0,18348.0,1.20
149,Alabama,1.0,2018.0,2018.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,29.0,13422.0,2.16
150,Alabama,1.0,2018.0,2018.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,20.0,13422.0,1.49
151,Alabama,1.0,2018.0,2018.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,19.0,5673.0,3.35 (Unreliable)
152,Alabama,1.0,2019.0,2019.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10.0,3955.0,2.53 (Unreliable)
153,Alabama,1.0,2019.0,2019.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11.0,3955.0,2.78 (Unreliable)
154,Alabama,1.0,2019.0,2019.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,47.0,15279.0,3.08
155,Alabama,1.0,2019.0,2019.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24.0,15279.0,1.57
156,Alabama,1.0,2019.0,2019.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31.0,15279.0,2.03
157,Alabama,1.0,2019.0,2019.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14.0,15279.0,0.92 (Unreliable)
158,Alabama,1.0,2019.0,2019.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,50.0,18662.0,2.68
159,Alabama,1.0,2019.0,2019.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,18.0,18662.0,0.96 (Unreliable)
160,Alabama,1.0,2019.0,2019.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,32.0,18662.0,1.71
161,Alabama,1.0,2019.0,2019.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,39.0,13777.0,2.83
162,Alabama,1.0,2019.0,2019.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27.0,13777.0,1.96
163,Alabama,1.0,2019.0,2019.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,13.0,13777.0,0.94 (Unreliable)
164,Alabama,1.0,2019.0,2019.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,29.0,5782.0,5.02
165,Alaska,2.0,2007.0,2007.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12.0,3316.0,3.51 (Unreliable)
166,Alaska,2.0,2009.0,2009.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,3146.0,4.45 (Unreliable)
167,Alaska,2.0,2014.0,2014.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11.0,2980.0,3.69 (Unreliable)
168,Alaska,2.0,2014.0,2014.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,11.0,2844.0,3.87 (Unreliable)
169,Alaska,2.0,2015.0,2015.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,11.0,3525.0,3.12 (Unreliable)
170,Arizona,4.0,2007.0,2007.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,47.0,12868.0,3.66
171,Arizona,4.0,2007.0,2007.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28.0,12868.0,2.15
172,Arizona,4.0,2007.0,2007.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,12868.0,1.12 (Unreliable)
173,Arizona,4.0,2007.0,2007.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,10.0,12868.0,0.81 (Unreliable)
174,Arizona,4.0,2007.0,2007.0,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,10.0,27875.0,0.37 (Unreliable)
175,Arizona,4.0,2007.0,2007.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,94.0,27875.0,3.37
176,Arizona,4.0,2007.0,2007.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,40.0,27875.0,1.44
177,Arizona,4.0,2007.0,2007.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31.0,27875.0,1.11
178,Arizona,4.0,2007.0,2007.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14.0,27875.0,0.52 (Unreliable)
179,Arizona,4.0,2007.0,2007.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,91.0,28833.0,3.16
180,Arizona,4.0,2007.0,2007.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32.0,28833.0,1.10
