Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Deaths,Births,Death Rate
,Alabama,1,2010,2010,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,11,17683,0.63 (Unreliable)
,Alabama,1,2010,2010,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,54,11578,4.67
,Alabama,1,2010,2010,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,15,11578,1.30 (Unreliable)
,Alabama,1,2010,2010,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,19,4590,4.14 (Unreliable)
,Alabama,1,2010,2010,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10,4590,2.18 (Unreliable)
,Alabama,1,2011,2011,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,33,6609,4.99
,Alabama,1,2011,2011,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12,6609,1.83 (Unreliable)
,Alabama,1,2011,2011,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,61,17591,3.47
,Alabama,1,2011,2011,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,31,17591,1.77
,Alabama,1,2011,2011,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,35,17591,2.00
,Alabama,1,2011,2011,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14,17591,0.80 (Unreliable)
,Alabama,1,2011,2011,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,59,17498,3.37
,Alabama,1,2011,2011,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24,17498,1.37
,Alabama,1,2011,2011,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21,17498,1.21
,Alabama,1,2011,2011,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,47,11949,3.94
,Alabama,1,2011,2011,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12,11949,1.01 (Unreliable)
,Alabama,1,2011,2011,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,26,4600,5.66
,Alabama,1,2011,2011,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12,4600,2.62 (Unreliable)
,Alabama,1,2012,2012,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,39,6195,6.30
,Alabama,1,2012,2012,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,10,6195,1.61 (Unreliable)
,Alabama,1,2012,2012,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,62,17100,3.63
,Alabama,1,2012,2012,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,25,17100,1.46
,Alabama,1,2012,2012,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,26,17100,1.52
,Alabama,1,2012,2012,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,15,17100,0.88 (Unreliable)
,Alabama,1,2012,2012,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,69,17347,3.98
,Alabama,1,2012,2012,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30,17347,1.73
,Alabama,1,2012,2012,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31,17347,1.79
,Alabama,1,2012,2012,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,42,12211,3.44
,Alabama,1,2012,2012,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22,12211,1.80
,Alabama,1,2012,2012,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,18,12211,1.47 (Unreliable)
,Alabama,1,2012,2012,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,28,4574,6.12
,Alabama,1,2013,2013,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,29,5392,5.38
,Alabama,1,2013,2013,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,14,5392,2.60 (Unreliable)
,Alabama,1,2013,2013,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,19,5392,3.52 (Unreliable)
,Alabama,1,2013,2013,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,70,17322,4.04
,Alabama,1,2013,2013,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24,17322,1.39
,Alabama,1,2013,2013,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31,17322,1.79
,Alabama,1,2013,2013,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,67,17480,3.83
,Alabama,1,2013,2013,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,16,17480,0.92 (Unreliable)
,Alabama,1,2013,2013,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,29,17480,1.66
,Alabama,1,2013,2013,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,59,12325,4.79
,Alabama,1,2013,2013,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,16,12325,1.30 (Unreliable)
,Alabama,1,2013,2013,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,15,12325,1.22 (Unreliable)
,Alabama,1,2013,2013,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,24,4631,5.18
,Alabama,1,2014,2014,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,24,5009,4.80
,Alabama,1,2014,2014,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,13,5009,2.60 (Unreliable)
,Alabama,1,2014,2014,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,16,5009,3.20 (Unreliable)
,Alabama,1,2014,2014,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,84,17092,4.93
,Alabama,1,2014,2014,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21,17092,1.23
,Alabama,1,2014,2014,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,37,17092,2.17
,Alabama,1,2014,2014,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,10,17092,0.59 (Unreliable)
,Alabama,1,2014,2014,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,55,18141,3.04
,Alabama,1,2014,2014,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28,18141,1.55
,Alabama,1,2014,2014,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,30,18141,1.65
,Alabama,1,2014,2014,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,54,13176,4.11
,Alabama,1,2014,2014,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22,13176,1.67
,Alabama,1,2014,2014,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,13176,1.06 (Unreliable)
,Alabama,1,2014,2014,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,12,4980,2.41 (Unreliable)
,Alabama,1,2015,2015,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,18,4739,3.80 (Unreliable)
,Alabama,1,2015,2015,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11,4739,2.32 (Unreliable)
,Alabama,1,2015,2015,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,77,16794,4.58
,Alabama,1,2015,2015,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27,16794,1.61
,Alabama,1,2015,2015,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,43,16794,2.56
,Alabama,1,2015,2015,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,71,18531,3.83
,Alabama,1,2015,2015,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,19,18531,1.03 (Unreliable)
,Alabama,1,2015,2015,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25,18531,1.35
,Alabama,1,2015,2015,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,49,13287,3.69
,Alabama,1,2015,2015,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17,13287,1.28 (Unreliable)
,Alabama,1,2015,2015,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,13287,1.05 (Unreliable)
,Alabama,1,2015,2015,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,11,5272,2.09 (Unreliable)
,Alabama,1,2016,2016,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,28,4480,6.25
,Alabama,1,2016,2016,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11,4480,2.46 (Unreliable)
,Alabama,1,2016,2016,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,67,16066,4.17
,Alabama,1,2016,2016,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32,16066,1.99
,Alabama,1,2016,2016,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,38,16066,2.37
,Alabama,1,2016,2016,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12,16066,0.75 (Unreliable)
,Alabama,1,2016,2016,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,60,18649,3.22
,Alabama,1,2016,2016,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17,18649,0.91 (Unreliable)
,Alabama,1,2016,2016,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,35,18649,1.88
,Alabama,1,2016,2016,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,62,13440,4.61
,Alabama,1,2016,2016,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24,13440,1.79
,Alabama,1,2016,2016,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21,13440,1.56
,Alabama,1,2016,2016,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,20,5505,3.63
,Alabama,1,2017,2017,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,15,4241,3.54 (Unreliable)
,Alabama,1,2017,2017,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,4241,3.30 (Unreliable)
,Alabama,1,2017,2017,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,51,15780,3.23
,Alabama,1,2017,2017,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21,15780,1.33
,Alabama,1,2017,2017,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,45,15780,2.85
,Alabama,1,2017,2017,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,51,18774,2.72
,Alabama,1,2017,2017,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,25,18774,1.33
,Alabama,1,2017,2017,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25,18774,1.33
,Alabama,1,2017,2017,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,39,13425,2.91
,Alabama,1,2017,2017,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,22,13425,1.64
,Alabama,1,2017,2017,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,19,13425,1.42 (Unreliable)
,Alabama,1,2017,2017,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,23,5647,4.07
,Alabama,1,2017,2017,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,13,5647,2.30 (Unreliable)
,Alabama,1,2018,2018,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,16,3924,4.08 (Unreliable)
,Alabama,1,2018,2018,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,66,15268,4.32
,Alabama,1,2018,2018,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,19,15268,1.24 (Unreliable)
,Alabama,1,2018,2018,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,20,15268,1.31
,Alabama,1,2018,2018,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,54,18348,2.94
,Alabama,1,2018,2018,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,29,18348,1.58
,Alabama,1,2018,2018,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,22,18348,1.20
,Alabama,1,2018,2018,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,29,13422,2.16
,Alabama,1,2018,2018,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,20,13422,1.49
,Alabama,1,2018,2018,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,19,5673,3.35 (Unreliable)
,Alabama,1,2019,2019,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10,3955,2.53 (Unreliable)
,Alabama,1,2019,2019,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11,3955,2.78 (Unreliable)
,Alabama,1,2019,2019,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,47,15279,3.08
,Alabama,1,2019,2019,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24,15279,1.57
,Alabama,1,2019,2019,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31,15279,2.03
,Alabama,1,2019,2019,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14,15279,0.92 (Unreliable)
,Alabama,1,2019,2019,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,50,18662,2.68
,Alabama,1,2019,2019,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,18,18662,0.96 (Unreliable)
,Alabama,1,2019,2019,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,32,18662,1.71
,Alabama,1,2019,2019,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,39,13777,2.83
,Alabama,1,2019,2019,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27,13777,1.96
,Alabama,1,2019,2019,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,13,13777,0.94 (Unreliable)
,Alabama,1,2019,2019,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,29,5782,5.02
,Alaska,2,2007,2007,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12,3316,3.51 (Unreliable)
,Alaska,2,2009,2009,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,3146,4.45 (Unreliable)
,Alaska,2,2014,2014,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11,2980,3.69 (Unreliable)
,Alaska,2,2014,2014,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,11,2844,3.87 (Unreliable)
,Alaska,2,2015,2015,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,11,3525,3.12 (Unreliable)
,Arizona,4,2007,2007,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,47,12868,3.66
,Arizona,4,2007,2007,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28,12868,2.15
,Arizona,4,2007,2007,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,12868,1.12 (Unreliable)
,Arizona,4,2007,2007,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,10,12868,0.81 (Unreliable)
,Arizona,4,2007,2007,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,10,27875,0.37 (Unreliable)
,Arizona,4,2007,2007,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,94,27875,3.37
,Arizona,4,2007,2007,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,40,27875,1.44
,Arizona,4,2007,2007,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,31,27875,1.11
,Arizona,4,2007,2007,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,14,27875,0.52 (Unreliable)
,Arizona,4,2007,2007,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,91,28833,3.16
,Arizona,4,2007,2007,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32,28833,1.10
,Arizona,4,2007,2007,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,15,28833,0.50 (Unreliable)
,Arizona,4,2007,2007,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,16,28833,0.54 (Unreliable)
,Arizona,4,2007,2007,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,66,21037,3.11
,Arizona,4,2007,2007,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,29,21037,1.36
,Arizona,4,2007,2007,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11,21037,0.54 (Unreliable)
,Arizona,4,2007,2007,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,30,9968,2.98
,Arizona,4,2007,2007,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,20,9968,2.04
,Arizona,4,2008,2008,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,46,12051,3.81
,Arizona,4,2008,2008,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,26,12051,2.20
,Arizona,4,2008,2008,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14,12051,1.18 (Unreliable)
,Arizona,4,2008,2008,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,65,26240,2.49
,Arizona,4,2008,2008,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,37,26240,1.40
,Arizona,4,2008,2008,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25,26240,0.97
,Arizona,4,2008,2008,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,17,26240,0.66 (Unreliable)
,Arizona,4,2008,2008,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,82,28207,2.90
,Arizona,4,2008,2008,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,42,28207,1.48
,Arizona,4,2008,2008,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21,28207,0.75
,Arizona,4,2008,2008,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,65,20662,3.17
,Arizona,4,2008,2008,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28,20662,1.38
,Arizona,4,2008,2008,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,44,10016,4.39
,Arizona,4,2008,2008,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,11,1979,5.66 (Unreliable)
,Arizona,4,2009,2009,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,31,10874,2.89
,Arizona,4,2009,2009,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,11,10874,1.03 (Unreliable)
,Arizona,4,2009,2009,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,16,10874,1.51 (Unreliable)
,Arizona,4,2009,2009,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,62,23972,2.58
,Arizona,4,2009,2009,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,26,23972,1.11
,Arizona,4,2009,2009,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,22,23972,0.90
,Arizona,4,2009,2009,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,13,23972,0.56 (Unreliable)
,Arizona,4,2009,2009,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,73,26507,2.76
,Arizona,4,2009,2009,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32,26507,1.19
,Arizona,4,2009,2009,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,26,26507,0.97
