Notes,Year,Year Code,State,State Code,Age of Mother 10,Age of Mother 10 Code,Births,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,2007,2007,Idaho,16,30-34 years,30-34,4753,46120,103.06,3329.07,574.08,38.59,2.34,38.42,2.01
,2007,2007,Idaho,16,35-39 years,35-39,2084,47159,44.19,3345.93,609.11,38.5,2.39,38.37,2.1
,2007,2007,Idaho,16,40-44 years,40-44,428,48223,8.88,3289.26,693.83,38.02,2.77,38.01,2.48
,2007,2007,Idaho,16,45-49 years,45-49,20,Not Available,Not Available,3117.1,781.85,37.8,2.38,37.45,2.67
,2007,2007,Illinois,17,Under 15 years,15-,260,Not Available,Not Available,3012.96,655.19,37.68,4.08,37.88,3.39
,2007,2007,Illinois,17,15 - 17 years,15-17,5996,276539,21.68,3113.39,578.91,38.41,3.08,38.51,2.43
,2007,2007,Illinois,17,18 - 19 years,18-19,12093,173816,69.57,3138.81,586.61,38.54,2.98,38.48,2.46
,2007,2007,Illinois,17,20-24 years,20-24,40055,429962,93.16,3211.48,580.93,38.6,2.72,38.51,2.27
,2007,2007,Illinois,17,25-29 years,25-29,50665,445735,113.67,3285.81,591.62,38.59,2.54,38.48,2.2
,2007,2007,Illinois,17,30-34 years,30-34,43847,420791,104.20,3320.16,604.35,38.5,2.45,38.42,2.17
,2007,2007,Illinois,17,35-39 years,35-39,23038,447946,51.43,3308.43,633.73,38.27,2.54,38.27,2.27
,2007,2007,Illinois,17,40-44 years,40-44,4578,460521,9.94,3233.42,683.41,37.99,2.79,38.03,2.56
,2007,2007,Illinois,17,45-49 years,45-49,286,Not Available,Not Available,3048.09,799.17,37.47,3.3,37.4,2.91
,2007,2007,Illinois,17,50 years and over,50+,18,Not Available,Not Available,3017.94,693.94,37.44,2.09,37.39,1.92
,2007,2007,Indiana,18,Under 15 years,15-,109,Not Available,Not Available,3033.53,569.15,37.66,3.05,38.03,2.52
,2007,2007,Indiana,18,15 - 17 years,15-17,2962,137648,21.52,3154.39,576.87,38.51,3.05,38.49,2.6
,2007,2007,Indiana,18,18 - 19 years,18-19,6986,93624,74.62,3163.65,599.74,38.63,2.98,38.49,2.49
,2007,2007,Indiana,18,20-24 years,20-24,25642,219955,116.58,3223.5,576.13,38.6,2.65,38.48,2.23
,2007,2007,Indiana,18,25-29 years,25-29,27141,209192,129.74,3288.17,592.4,38.52,2.5,38.45,2.2
,2007,2007,Indiana,18,30-34 years,30-34,17912,196474,91.17,3321.93,607.14,38.41,2.45,38.36,2.16
,2007,2007,Indiana,18,35-39 years,35-39,7588,214322,35.40,3314.51,639.83,38.22,2.6,38.23,2.32
,2007,2007,Indiana,18,40-44 years,40-44,1456,226631,6.42,3254.52,677.36,38.02,2.59,38.07,2.43
,2007,2007,Indiana,18,45-49 years,45-49,67,Not Available,Not Available,3096.95,723.29,37.74,2.51,38.15,2.33
,2007,2007,Iowa,19,Under 15 years,15-,41,Not Available,Not Available,3087,769.5,38.15,3.76,38.05,3.79
,2007,2007,Iowa,19,15 - 17 years,15-17,974,63060,15.45,3176.7,593.99,38.66,3.08,38.57,2.45
,2007,2007,Iowa,19,18 - 19 years,18-19,2555,44664,57.20,3230.96,598.36,38.77,2.85,38.6,2.34
,2007,2007,Iowa,19,20-24 years,20-24,10545,105280,100.16,3300.16,574.17,38.85,2.65,38.64,2.13
,2007,2007,Iowa,19,25-29 years,25-29,13537,90790,149.10,3362.53,586.09,38.73,2.47,38.61,2.08
,2007,2007,Iowa,19,30-34 years,30-34,8771,85835,102.18,3396.21,595.21,38.62,2.34,38.54,2.01
,2007,2007,Iowa,19,35-39 years,35-39,3763,91532,41.11,3390.8,621.9,38.37,2.52,38.4,2.13
,2007,2007,Iowa,19,40-44 years,40-44,659,100418,6.56,3332.63,658.03,38.24,2.68,38.26,2.29
,2007,2007,Iowa,19,45-49 years,45-49,40,Not Available,Not Available,3232,561.78,37.88,3.09,38.55,1.92
,2007,2007,Kansas,20,Under 15 years,15-,48,Not Available,Not Available,3082.44,652.03,37.52,3.58,38.17,3.14
,2007,2007,Kansas,20,15 - 17 years,15-17,1276,60169,21.21,3153.82,628.23,38.37,3.2,38.41,2.77
,2007,2007,Kansas,20,18 - 19 years,18-19,2995,40394,74.14,3197.64,588.97,38.64,2.81,38.53,2.3
,2007,2007,Kansas,20,20-24 years,20-24,11639,100468,115.85,3257.25,559.58,38.68,2.52,38.58,2.12
,2007,2007,Kansas,20,25-29 years,25-29,12841,89290,143.81,3313.05,567.68,38.66,2.35,38.58,2.05
,2007,2007,Kansas,20,30-34 years,30-34,8605,83766,102.73,3350.38,584.62,38.54,2.35,38.53,2.11
,2007,2007,Kansas,20,35-39 years,35-39,3815,87104,43.80,3348.63,626.51,38.32,2.51,38.43,2.24
,2007,2007,Kansas,20,40-44 years,40-44,735,93824,7.83,3366.01,592.07,38.49,2.19,38.69,1.78
,2007,2007,Kansas,20,45-49 years,45-49,49,Not Available,Not Available,3355.27,550.23,38.35,1.86,38.71,1.44
,2007,2007,Kentucky,21,Under 15 years,15-,93,Not Available,Not Available,3025.46,628.03,37.63,3.41,37.89,2.88
,2007,2007,Kentucky,21,15 - 17 years,15-17,2164,86561,25.00,3134.49,610.16,38.34,3.11,38.25,2.49
,2007,2007,Kentucky,21,18 - 19 years,18-19,5383,56998,94.44,3147.54,598.61,38.49,2.9,38.24,2.36
,2007,2007,Kentucky,21,20-24 years,20-24,17977,141866,126.72,3206.58,595.35,38.47,2.85,38.22,2.23
,2007,2007,Kentucky,21,25-29 years,25-29,17472,143615,121.66,3264.82,596.67,38.44,2.62,38.2,2.12
,2007,2007,Kentucky,21,30-34 years,30-34,10670,133606,79.86,3304.21,614.64,38.37,2.53,38.14,2.1
,2007,2007,Kentucky,21,35-39 years,35-39,4658,146307,31.84,3274.92,659.99,38.16,2.76,37.99,2.27
,2007,2007,Kentucky,21,40-44 years,40-44,895,154527,5.79,3229.17,694.63,37.77,2.97,37.74,2.47
,2007,2007,Kentucky,21,45-49 years,45-49,55,Not Available,Not Available,3017.69,854.14,36.82,3.68,36.91,3.3
,2007,2007,Louisiana,22,Under 15 years,15-,171,Not Available,Not Available,2899.92,587.47,37.15,3.9,37.61,3.13
,2007,2007,Louisiana,22,15 - 17 years,15-17,2725,96096,28.36,3009.65,611.66,37.87,3.24,38,2.75
,2007,2007,Louisiana,22,18 - 19 years,18-19,6249,66484,93.99,3040.5,610.55,38.03,3.01,38.01,2.63
,2007,2007,Louisiana,22,20-24 years,20-24,21775,165712,131.40,3109.71,583.04,38.17,2.81,38.07,2.31
,2007,2007,Louisiana,22,25-29 years,25-29,18711,157643,118.69,3170.32,589.23,38.16,2.66,38.06,2.23
,2007,2007,Louisiana,22,30-34 years,30-34,10847,132058,82.14,3195.8,624.73,38.1,2.69,37.99,2.29
,2007,2007,Louisiana,22,35-39 years,35-39,4840,142808,33.89,3183.33,666.22,37.94,2.86,37.81,2.46
,2007,2007,Louisiana,22,40-44 years,40-44,949,154959,6.12,3142.69,669.86,37.87,2.92,37.81,2.49
,2007,2007,Louisiana,22,45-49 years,45-49,32,Not Available,Not Available,2941.69,640.74,37.52,2.11,37.55,1.58
,2007,2007,Maine,23,15 - 17 years,15-17,251,27414,9.16,3261.03,606,39.27,2.94,38.87,2.37
,2007,2007,Maine,23,18 - 19 years,18-19,921,17584,52.38,3291.83,617.8,39.22,2.86,38.8,2.23
,2007,2007,Maine,23,20-24 years,20-24,3627,39143,92.66,3329.72,564.49,39.15,2.64,38.86,2.11
,2007,2007,Maine,23,25-29 years,25-29,4195,36580,114.68,3381.36,581.82,38.95,2.49,38.77,2.08
,2007,2007,Maine,23,30-34 years,30-34,3114,36227,85.96,3401.5,604.46,38.79,2.49,38.69,2.18
,2007,2007,Maine,23,35-39 years,35-39,1650,44656,36.95,3400.95,624.62,38.65,2.67,38.59,2.33
,2007,2007,Maine,23,40-44 years,40-44,329,51314,6.41,3376.11,644.13,38.51,2.73,38.51,2.4
,2007,2007,Maine,23,45-49 years,45-49,23,Not Available,Not Available,3235.7,653.95,38.09,2.06,37.91,2.06
,2007,2007,Maryland,24,Under 15 years,15-,92,Not Available,Not Available,3113.41,549.94,37.79,3.39,38.27,2.61
,2007,2007,Maryland,24,15 - 17 years,15-17,2203,123980,17.77,3073.48,607.36,38.35,3.3,38.36,2.72
,2007,2007,Maryland,24,18 - 19 years,18-19,4689,77068,60.84,3150.3,600.14,38.55,2.97,38.51,2.45
,2007,2007,Maryland,24,20-24 years,20-24,16386,185419,88.37,3192.83,598.42,38.59,2.79,38.49,2.37
,2007,2007,Maryland,24,25-29 years,25-29,20674,192283,107.52,3262.19,600.57,38.61,2.64,38.49,2.27
,2007,2007,Maryland,24,30-34 years,30-34,19735,179807,109.76,3293.76,619.59,38.53,2.57,38.44,2.28
,2007,2007,Maryland,24,35-39 years,35-39,11430,211283,54.10,3264.26,663.07,38.2,2.71,38.2,2.47
,2007,2007,Maryland,24,40-44 years,40-44,2689,232536,11.56,3228.06,662.46,38.04,2.79,38.05,2.44
,2007,2007,Maryland,24,45-49 years,45-49,186,Not Available,Not Available,3011.34,778.73,37.67,3.73,37.15,3.36
,2007,2007,Maryland,24,50 years and over,50+,11,Not Available,Not Available,2835.91,608.8,36,3.98,36.73,1.42
,2007,2007,Massachusetts,25,Under 15 years,15-,49,Not Available,Not Available,3020.43,644.9,38.14,3.83,38.1,3.38
,2007,2007,Massachusetts,25,15 - 17 years,15-17,1547,131956,11.72,3135.78,603.48,38.7,2.91,38.67,2.58
,2007,2007,Massachusetts,25,18 - 19 years,18-19,3402,99260,34.27,3200.53,597.21,38.84,2.65,38.84,2.33
,2007,2007,Massachusetts,25,20-24 years,20-24,12605,226471,55.66,3264.04,571.54,38.89,2.44,38.86,2.05
,2007,2007,Massachusetts,25,25-29 years,25-29,19292,211772,91.10,3307.39,594.96,38.76,2.42,38.79,2.15
,2007,2007,Massachusetts,25,30-34 years,30-34,23341,201202,116.01,3352.11,596.51,38.67,2.28,38.79,2.07
,2007,2007,Massachusetts,25,35-39 years,35-39,14340,233111,61.52,3344,627.41,38.42,2.35,38.61,2.18
,2007,2007,Massachusetts,25,40-44 years,40-44,3155,254502,12.40,3279,638.59,38.19,2.41,38.46,2.26
,2007,2007,Massachusetts,25,45-49 years,45-49,222,Not Available,Not Available,3091.45,770.53,37.51,2.94,37.76,2.74
,2007,2007,Massachusetts,25,50 years and over,50+,14,Not Available,Not Available,3346.71,469.65,38.36,2.41,38.86,2.13
,2007,2007,Michigan,26,Under 15 years,15-,185,Not Available,Not Available,3095.31,623.72,37.95,3.48,38.57,2.71
,2007,2007,Michigan,26,15 - 17 years,15-17,3886,228479,17.01,3140.5,623.51,38.34,3.25,38.5,2.72
,2007,2007,Michigan,26,18 - 19 years,18-19,8611,144810,59.46,3181.01,599.26,38.68,2.82,38.63,2.41
,2007,2007,Michigan,26,20-24 years,20-24,30225,330701,91.40,3247.31,591.78,38.73,2.67,38.61,2.28
,2007,2007,Michigan,26,25-29 years,25-29,36844,304687,120.92,3310.7,607.24,38.69,2.56,38.55,2.26
,2007,2007,Michigan,26,30-34 years,30-34,28788,295383,97.46,3334.58,626.92,38.58,2.49,38.46,2.24
,2007,2007,Michigan,26,35-39 years,35-39,13845,341376,40.56,3309.36,651.15,38.33,2.59,38.29,2.32
,2007,2007,Michigan,26,40-44 years,40-44,2703,364318,7.42,3262.68,699.72,38.16,2.8,38.2,2.52
,2007,2007,Michigan,26,45-49 years,45-49,165,Not Available,Not Available,3120.87,822.31,37.59,3.9,37.5,3.32
,2007,2007,Minnesota,27,Under 15 years,15-,66,Not Available,Not Available,3136.08,572.01,38.48,2.58,38.36,2.26
,2007,2007,Minnesota,27,15 - 17 years,15-17,1522,112873,13.48,3224.62,574.08,38.74,2.59,38.85,2.25
,2007,2007,Minnesota,27,18 - 19 years,18-19,3671,73115,50.21,3245.41,564.84,38.82,2.55,38.82,2.29
,2007,2007,Minnesota,27,20-24 years,20-24,15574,178693,87.16,3302.94,570.02,38.84,2.44,38.79,2.17
,2007,2007,Minnesota,27,25-29 years,25-29,23504,174416,134.76,3369.36,581.88,38.8,2.27,38.76,2.07
,2007,2007,Minnesota,27,30-34 years,30-34,18682,159214,117.34,3391.66,592.33,38.66,2.24,38.65,2.05
,2007,2007,Minnesota,27,35-39 years,35-39,8847,173464,51.00,3378.89,635.61,38.45,2.39,38.5,2.22
,2007,2007,Minnesota,27,40-44 years,40-44,1744,190288,9.17,3357.27,619.04,38.32,2.35,38.48,2.15
,2007,2007,Minnesota,27,45-49 years,45-49,118,Not Available,Not Available,3127.74,848.37,37.69,3.59,37.82,3.53
,2007,2007,Mississippi,28,Under 15 years,15-,155,Not Available,Not Available,3009.55,528.21,37.9,3.25,38.05,2.82
,2007,2007,Mississippi,28,15 - 17 years,15-17,2647,66406,39.86,3013.54,592.6,38.04,3.12,38.1,2.57
,2007,2007,Mississippi,28,18 - 19 years,18-19,5164,45088,114.53,3030.75,590.11,38.12,2.98,38.09,2.44
,2007,2007,Mississippi,28,20-24 years,20-24,15535,105679,147.00,3077.49,596.93,38.11,2.93,38.03,2.39
,2007,2007,Mississippi,28,25-29 years,25-29,12718,100532,126.51,3161.41,612.41,38.16,2.8,38.05,2.33
,2007,2007,Mississippi,28,30-34 years,30-34,6779,91997,73.69,3212.71,627.35,38.07,2.73,38.01,2.27
